id,Prediction
Test-high crack (1),High Damage
Test-high crack (10),High Damage
Test-high crack (100),High Damage
Test-high crack (101),Medium Damage
Test-high crack (102),High Damage
Test-high crack (103),High Damage
Test-high crack (104),Medium Damage
Test-high crack (105),High Damage
Test-high crack (106),High Damage
Test-high crack (107),High Damage
Test-high crack (108),High Damage
Test-high crack (109),High Damage
Test-high crack (11),High Damage
Test-high crack (110),Medium Damage
Test-high crack (111),Medium Damage
Test-high crack (112),High Damage
Test-high crack (113),High Damage
Test-high crack (114),High Damage
Test-high crack (115),High Damage
Test-high crack (116),High Damage
Test-high crack (117),High Damage
Test-high crack (118),High Damage
Test-high crack (119),High Damage
Test-high crack (12),High Damage
Test-high crack (120),High Damage
Test-high crack (121),High Damage
Test-high crack (13),High Damage
Test-high crack (14),High Damage
Test-high crack (15),High Damage
Test-high crack (16),High Damage
Test-high crack (17),High Damage
Test-high crack (18),High Damage
Test-high crack (19),High Damage
Test-high crack (2),High Damage
Test-high crack (20),High Damage
Test-high crack (21),High Damage
Test-high crack (22),High Damage
Test-high crack (23),High Damage
Test-high crack (24),High Damage
Test-high crack (25),High Damage
Test-high crack (26),High Damage
Test-high crack (27),High Damage
Test-high crack (28),High Damage
Test-high crack (29),High Damage
Test-high crack (3),High Damage
Test-high crack (30),High Damage
Test-high crack (31),Medium Damage
Test-high crack (32),High Damage
Test-high crack (33),High Damage
Test-high crack (34),High Damage
Test-high crack (35),High Damage
Test-high crack (36),High Damage
Test-high crack (37),High Damage
Test-high crack (38),High Damage
Test-high crack (39),High Damage
Test-high crack (4),High Damage
Test-high crack (40),High Damage
Test-high crack (41),High Damage
Test-high crack (42),High Damage
Test-high crack (43),High Damage
Test-high crack (44),High Damage
Test-high crack (45),High Damage
Test-high crack (46),High Damage
Test-high crack (47),High Damage
Test-high crack (48),High Damage
Test-high crack (49),High Damage
Test-high crack (5),High Damage
Test-high crack (50),High Damage
Test-high crack (51),High Damage
Test-high crack (52),High Damage
Test-high crack (53),High Damage
Test-high crack (54),High Damage
Test-high crack (55),High Damage
Test-high crack (56),High Damage
Test-high crack (57),High Damage
Test-high crack (58),High Damage
Test-high crack (59),High Damage
Test-high crack (6),High Damage
Test-high crack (60),High Damage
Test-high crack (61),High Damage
Test-high crack (62),High Damage
Test-high crack (63),High Damage
Test-high crack (64),High Damage
Test-high crack (65),High Damage
Test-high crack (66),High Damage
Test-high crack (67),High Damage
Test-high crack (68),High Damage
Test-high crack (69),High Damage
Test-high crack (7),High Damage
Test-high crack (70),High Damage
Test-high crack (71),High Damage
Test-high crack (72),High Damage
Test-high crack (73),High Damage
Test-high crack (74),High Damage
Test-high crack (75),High Damage
Test-high crack (76),High Damage
Test-high crack (77),High Damage
Test-high crack (78),High Damage
Test-high crack (79),High Damage
Test-high crack (8),Medium Damage
Test-high crack (80),High Damage
Test-high crack (81),High Damage
Test-high crack (82),High Damage
Test-high crack (83),High Damage
Test-high crack (84),High Damage
Test-high crack (85),High Damage
Test-high crack (86),High Damage
Test-high crack (87),High Damage
Test-high crack (88),High Damage
Test-high crack (89),High Damage
Test-high crack (9),High Damage
Test-high crack (90),High Damage
Test-high crack (91),High Damage
Test-high crack (92),High Damage
Test-high crack (93),High Damage
Test-high crack (94),High Damage
Test-high crack (95),High Damage
Test-high crack (96),High Damage
Test-high crack (97),High Damage
Test-high crack (98),High Damage
Test-high crack (99),High Damage
Test-low crack (1),Low Damage
Test-low crack (10),Low Damage
Test-low crack (100),Low Damage
Test-low crack (101),Low Damage
Test-low crack (102),Low Damage
Test-low crack (103),Low Damage
Test-low crack (104),Low Damage
Test-low crack (105),Low Damage
Test-low crack (106),Low Damage
Test-low crack (107),Medium Damage
Test-low crack (108),Low Damage
Test-low crack (109),Low Damage
Test-low crack (11),Medium Damage
Test-low crack (110),Low Damage
Test-low crack (111),Low Damage
Test-low crack (112),Low Damage
Test-low crack (113),Low Damage
Test-low crack (114),Low Damage
Test-low crack (115),Low Damage
Test-low crack (116),Low Damage
Test-low crack (117),Low Damage
Test-low crack (118),Low Damage
Test-low crack (119),Low Damage
Test-low crack (12),Low Damage
Test-low crack (120),Low Damage
Test-low crack (121),Low Damage
Test-low crack (122),Low Damage
Test-low crack (123),Low Damage
Test-low crack (124),Low Damage
Test-low crack (13),Low Damage
Test-low crack (14),Low Damage
Test-low crack (15),Low Damage
Test-low crack (16),Medium Damage
Test-low crack (17),Low Damage
Test-low crack (18),Low Damage
Test-low crack (19),Low Damage
Test-low crack (2),Low Damage
Test-low crack (20),Low Damage
Test-low crack (21),Low Damage
Test-low crack (22),Low Damage
Test-low crack (23),Low Damage
Test-low crack (24),Low Damage
Test-low crack (25),Low Damage
Test-low crack (26),Low Damage
Test-low crack (27),Low Damage
Test-low crack (28),Low Damage
Test-low crack (29),Low Damage
Test-low crack (3),Low Damage
Test-low crack (30),Medium Damage
Test-low crack (31),Low Damage
Test-low crack (32),Medium Damage
Test-low crack (33),Low Damage
Test-low crack (34),Low Damage
Test-low crack (35),Low Damage
Test-low crack (36),Low Damage
Test-low crack (37),Low Damage
Test-low crack (38),Low Damage
Test-low crack (39),Low Damage
Test-low crack (4),Low Damage
Test-low crack (40),Low Damage
Test-low crack (41),Low Damage
Test-low crack (42),Low Damage
Test-low crack (43),Low Damage
Test-low crack (44),Low Damage
Test-low crack (45),Low Damage
Test-low crack (46),Low Damage
Test-low crack (47),Low Damage
Test-low crack (48),Low Damage
Test-low crack (49),Low Damage
Test-low crack (5),Medium Damage
Test-low crack (50),Low Damage
Test-low crack (51),Low Damage
Test-low crack (52),Low Damage
Test-low crack (53),Low Damage
Test-low crack (54),Low Damage
Test-low crack (55),Low Damage
Test-low crack (56),Low Damage
Test-low crack (57),High Damage
Test-low crack (58),Low Damage
Test-low crack (59),High Damage
Test-low crack (6),Low Damage
Test-low crack (60),High Damage
Test-low crack (61),Medium Damage
Test-low crack (62),Low Damage
Test-low crack (63),Low Damage
Test-low crack (64),Low Damage
Test-low crack (65),Low Damage
Test-low crack (66),Low Damage
Test-low crack (67),Low Damage
Test-low crack (68),Low Damage
Test-low crack (69),Low Damage
Test-low crack (7),Low Damage
Test-low crack (70),Low Damage
Test-low crack (71),Low Damage
Test-low crack (72),Low Damage
Test-low crack (73),Low Damage
Test-low crack (74),Low Damage
Test-low crack (75),Low Damage
Test-low crack (76),Low Damage
Test-low crack (77),Low Damage
Test-low crack (78),Low Damage
Test-low crack (79),Low Damage
Test-low crack (8),Low Damage
Test-low crack (80),Low Damage
Test-low crack (81),Low Damage
Test-low crack (82),Low Damage
Test-low crack (83),Low Damage
Test-low crack (84),Low Damage
Test-low crack (85),Medium Damage
Test-low crack (86),Low Damage
Test-low crack (87),Low Damage
Test-low crack (88),Low Damage
Test-low crack (89),Low Damage
Test-low crack (9),Low Damage
Test-low crack (90),Low Damage
Test-low crack (91),Low Damage
Test-low crack (92),Low Damage
Test-low crack (93),Low Damage
Test-low crack (94),Low Damage
Test-low crack (95),Low Damage
Test-low crack (96),Low Damage
Test-low crack (97),Low Damage
Test-low crack (98),Low Damage
Test-low crack (99),Low Damage
Test-medium crack (1),Medium Damage
Test-medium crack (10),Medium Damage
Test-medium crack (100),Medium Damage
Test-medium crack (101),Medium Damage
Test-medium crack (102),Medium Damage
Test-medium crack (103),High Damage
Test-medium crack (104),Medium Damage
Test-medium crack (105),Medium Damage
Test-medium crack (106),Medium Damage
Test-medium crack (107),Medium Damage
Test-medium crack (108),Medium Damage
Test-medium crack (109),Medium Damage
Test-medium crack (11),Medium Damage
Test-medium crack (110),High Damage
Test-medium crack (111),High Damage
Test-medium crack (112),High Damage
Test-medium crack (113),High Damage
Test-medium crack (114),High Damage
Test-medium crack (115),High Damage
Test-medium crack (116),High Damage
Test-medium crack (117),Medium Damage
Test-medium crack (118),Medium Damage
Test-medium crack (119),Medium Damage
Test-medium crack (12),Medium Damage
Test-medium crack (120),Medium Damage
Test-medium crack (121),Medium Damage
Test-medium crack (122),Medium Damage
Test-medium crack (123),Medium Damage
Test-medium crack (124),Medium Damage
Test-medium crack (13),High Damage
Test-medium crack (14),Medium Damage
Test-medium crack (15),Low Damage
Test-medium crack (16),High Damage
Test-medium crack (17),High Damage
Test-medium crack (18),High Damage
Test-medium crack (19),High Damage
Test-medium crack (2),Medium Damage
Test-medium crack (20),High Damage
Test-medium crack (21),High Damage
Test-medium crack (22),High Damage
Test-medium crack (23),High Damage
Test-medium crack (24),High Damage
Test-medium crack (25),Low Damage
Test-medium crack (26),Low Damage
Test-medium crack (27),High Damage
Test-medium crack (28),Medium Damage
Test-medium crack (29),High Damage
Test-medium crack (3),Medium Damage
Test-medium crack (30),High Damage
Test-medium crack (31),Medium Damage
Test-medium crack (32),Medium Damage
Test-medium crack (33),High Damage
Test-medium crack (34),Medium Damage
Test-medium crack (35),High Damage
Test-medium crack (36),High Damage
Test-medium crack (37),High Damage
Test-medium crack (38),High Damage
Test-medium crack (39),Medium Damage
Test-medium crack (4),Medium Damage
Test-medium crack (40),High Damage
Test-medium crack (41),High Damage
Test-medium crack (42),High Damage
Test-medium crack (43),High Damage
Test-medium crack (44),High Damage
Test-medium crack (45),High Damage
Test-medium crack (46),High Damage
Test-medium crack (47),High Damage
Test-medium crack (48),High Damage
Test-medium crack (49),High Damage
Test-medium crack (5),High Damage
Test-medium crack (50),High Damage
Test-medium crack (51),High Damage
Test-medium crack (52),High Damage
Test-medium crack (53),High Damage
Test-medium crack (54),High Damage
Test-medium crack (55),High Damage
Test-medium crack (56),High Damage
Test-medium crack (57),High Damage
Test-medium crack (58),High Damage
Test-medium crack (59),High Damage
Test-medium crack (6),Medium Damage
Test-medium crack (60),High Damage
Test-medium crack (61),High Damage
Test-medium crack (62),High Damage
Test-medium crack (63),High Damage
Test-medium crack (64),High Damage
Test-medium crack (65),High Damage
Test-medium crack (66),High Damage
Test-medium crack (67),High Damage
Test-medium crack (68),High Damage
Test-medium crack (69),Medium Damage
Test-medium crack (7),Medium Damage
Test-medium crack (70),Medium Damage
Test-medium crack (71),Medium Damage
Test-medium crack (72),Medium Damage
Test-medium crack (73),Medium Damage
Test-medium crack (74),Medium Damage
Test-medium crack (75),Medium Damage
Test-medium crack (76),Medium Damage
Test-medium crack (77),Medium Damage
Test-medium crack (78),Medium Damage
Test-medium crack (79),Medium Damage
Test-medium crack (8),Medium Damage
Test-medium crack (80),Medium Damage
Test-medium crack (81),Medium Damage
Test-medium crack (82),Medium Damage
Test-medium crack (83),Medium Damage
Test-medium crack (84),Medium Damage
Test-medium crack (85),Medium Damage
Test-medium crack (86),Medium Damage
Test-medium crack (87),High Damage
Test-medium crack (88),High Damage
Test-medium crack (89),High Damage
Test-medium crack (9),High Damage
Test-medium crack (90),High Damage
Test-medium crack (91),High Damage
Test-medium crack (92),High Damage
Test-medium crack (93),High Damage
Test-medium crack (94),Medium Damage
Test-medium crack (95),Medium Damage
Test-medium crack (96),Medium Damage
Test-medium crack (97),Medium Damage
Test-medium crack (98),Medium Damage
Test-medium crack (99),Medium Damage
Test-no crack (1),No Damage
Test-no crack (10),No Damage
Test-no crack (11),No Damage
Test-no crack (12),No Damage
Test-no crack (13),No Damage
Test-no crack (14),No Damage
Test-no crack (15),No Damage
Test-no crack (16),No Damage
Test-no crack (17),No Damage
Test-no crack (18),No Damage
Test-no crack (19),No Damage
Test-no crack (2),No Damage
Test-no crack (20),No Damage
Test-no crack (21),No Damage
Test-no crack (22),No Damage
Test-no crack (23),No Damage
Test-no crack (24),No Damage
Test-no crack (25),No Damage
Test-no crack (26),No Damage
Test-no crack (27),No Damage
Test-no crack (28),No Damage
Test-no crack (29),No Damage
Test-no crack (3),No Damage
Test-no crack (30),No Damage
Test-no crack (31),No Damage
Test-no crack (32),No Damage
Test-no crack (33),No Damage
Test-no crack (34),No Damage
Test-no crack (35),No Damage
Test-no crack (36),No Damage
Test-no crack (37),No Damage
Test-no crack (38),No Damage
Test-no crack (39),No Damage
Test-no crack (4),No Damage
Test-no crack (40),No Damage
Test-no crack (41),No Damage
Test-no crack (42),No Damage
Test-no crack (43),No Damage
Test-no crack (44),No Damage
Test-no crack (45),No Damage
Test-no crack (46),No Damage
Test-no crack (47),No Damage
Test-no crack (48),No Damage
Test-no crack (49),No Damage
Test-no crack (5),No Damage
Test-no crack (50),No Damage
Test-no crack (51),No Damage
Test-no crack (52),No Damage
Test-no crack (53),No Damage
Test-no crack (54),No Damage
Test-no crack (55),No Damage
Test-no crack (56),No Damage
Test-no crack (57),No Damage
Test-no crack (58),No Damage
Test-no crack (59),No Damage
Test-no crack (6),No Damage
Test-no crack (60),No Damage
Test-no crack (61),No Damage
Test-no crack (62),No Damage
Test-no crack (63),No Damage
Test-no crack (64),No Damage
Test-no crack (65),No Damage
Test-no crack (66),No Damage
Test-no crack (67),No Damage
Test-no crack (68),No Damage
Test-no crack (69),No Damage
Test-no crack (7),No Damage
Test-no crack (70),No Damage
Test-no crack (71),No Damage
Test-no crack (72),No Damage
Test-no crack (73),No Damage
Test-no crack (74),No Damage
Test-no crack (75),No Damage
Test-no crack (76),No Damage
Test-no crack (77),No Damage
Test-no crack (78),No Damage
Test-no crack (79),No Damage
Test-no crack (8),No Damage
Test-no crack (80),No Damage
Test-no crack (81),No Damage
Test-no crack (82),No Damage
Test-no crack (83),No Damage
Test-no crack (84),No Damage
Test-no crack (85),No Damage
Test-no crack (86),No Damage
Test-no crack (87),No Damage
Test-no crack (88),No Damage
Test-no crack (89),No Damage
Test-no crack (9),No Damage
Test-no crack (90),No Damage
Test-no crack (91),No Damage
Test-no crack (92),No Damage
